event_id,match_time,shooter_jersey,kicking_side,wcs_original,wcs_ideal,original_cascade_ok,ideal_cascade_ok,original_amp_ratio,ideal_amp_ratio,time_warped,amplitude_scaled,scale_factor_foot
45,06:12,19,right,40,47,False,False,3.24,2.0,True,False,1.0
78,08:39,6,right,60,60,False,False,4.45,6.11,True,False,1.0
120,10:34,28,right,60,80,False,False,3.49,3.71,True,False,1.0
167,13:06,24,right,40,80,False,False,5.94,6.87,True,False,1.0
285,21:34,19,left,60,80,False,False,3.1,3.13,True,False,1.0
318,23:17,11,left,80,80,False,False,3.05,5.73,True,False,1.0
346,25:33,4,left,80,100,False,True,3.66,3.56,True,False,1.0
416,29:25,9,left,60,80,False,False,6.98,5.38,True,False,1.0
521,36:12,11,left,80,100,False,True,5.81,10.06,True,False,1.0
640,44:30,29,left,100,100,True,True,4.81,4.81,False,False,1.0
711,46:28,16,left,80,80,False,False,3.15,3.73,True,False,1.0
791,50:15,14,right,80,100,False,True,6.6,5.92,True,False,1.0
830,52:08,17,left,80,80,False,False,3.16,4.73,True,False,1.0
869,55:17,11,left,60,60,False,False,3.51,7.5,True,False,1.0
876,55:49,4,right,80,80,False,False,7.69,6.64,True,False,1.0
902,57:46,24,left,60,80,False,False,5.44,4.3,True,False,1.0
976,61:48,24,left,80,100,False,True,3.54,3.51,True,False,1.0
1026,65:43,3,left,80,80,False,False,3.71,3.38,True,False,1.0
1198,77:43,29,left,60,80,False,False,4.52,3.65,True,False,1.0
1213,78:44,21,right,69,76,False,False,2.18,2.68,True,True,1.377
1226,80:25,11,left,57,80,False,False,2.76,4.2,True,True,1.087
1262,83:31,24,left,80,80,False,False,4.06,4.06,False,False,1.0
1336,88:41,20,right,80,80,False,False,5.67,5.67,False,False,1.0
1342,89:48,11,right,60,80,False,False,6.51,4.78,True,False,1.0
1369,91:25,24,right,80,80,False,False,6.36,6.6,True,False,1.0
