event_id,event_code,event_start_frame,event_end_frame,half,shot_frame,match_time_s,match_time_mmss,ball_acc_spike_mps2,ball_speed_before_mps,ball_speed_after_mps,shooter_jersey,shooter_team,shooter_body_part,foot_ball_dist_m,low_confidence,xml_players_tagged
45,AJAX | DOELPUNT,1810246,1810771,1,1810474,364.6,06:04,346.6,0.61,27.05,24,REFEREE,LEFT_TOE,0.204,False,
78,AJAX | SCHOT,1813874,1814499,1,1814334,519.0,08:39,290.9,3.41,28.01,6,REFEREE,RIGHT_ANKLE,0.366,False,Player_11|Player_7
120,FORTUNA SITTARD | SCHOT,1816731,1817356,1,1816801,617.7,10:17,329.5,2.97,26.68,14,TEAM_A,LEFT_TOE,0.059,False,
167,AJAX | DOELPUNT,1820537,1821062,1,1821017,786.3,13:06,256.0,5.23,24.76,24,REFEREE,RIGHT_ANKLE,0.454,False,
285,AJAX | SCHOT,1833224,1833849,1,1833720,1294.4,21:34,342.8,4.14,25.58,19,REFEREE,LEFT_TOE,1.012,False,
318,AJAX | DOELPUNT,1835819,1836344,1,1836287,1397.1,23:17,249.5,6.01,27.81,11,REFEREE,LEFT_ANKLE,0.324,False,
346,AJAX | SCHOT,1839297,1839922,1,1839693,1533.4,25:33,218.6,3.16,26.9,4,REFEREE,LEFT_ANKLE,0.387,False,
416,FORTUNA SITTARD | SCHOT,1844979,1845604,1,1845484,1765.0,29:25,373.8,4.59,32.21,9,TEAM_A,LEFT_ANKLE,0.095,False,
521,AJAX | SCHOT,1855221,1855846,1,1855367,2160.3,36:00,155.6,4.14,18.32,14,TEAM_A,RIGHT_ANKLE,0.414,False,
640,FORTUNA SITTARD | DOELPUNT,1867666,1868191,1,1868099,2669.6,44:29,283.8,2.74,23.18,14,TEAM_A,LEFT_TOE,0.168,False,
711,AJAX | SCHOT,1900384,1901009,2,1900953,2788.8,46:28,225.0,3.94,20.49,16,TEAM_A,LEFT_ANKLE,0.13,False,
791,FORTUNA SITTARD | SCHOT,1906286,1906911,2,1906609,3015.0,50:15,189.4,4.24,21.0,14,TEAM_A,RIGHT_ANKLE,0.523,False,
830,FORTUNA SITTARD | SCHOT,1908964,1909589,2,1909447,3128.5,52:08,419.1,4.09,39.21,17,TEAM_A,LEFT_ANKLE,0.269,False,
869,AJAX | SCHOT,1913697,1914322,2,1914173,3317.6,55:17,432.8,9.24,30.01,11,REFEREE,LEFT_ANKLE,0.189,False,
876,AJAX | SCHOT,1914489,1915114,2,1914874,3345.6,55:45,316.8,0.53,24.56,24,REFEREE,RIGHT_TOE,0.365,False,
902,AJAX | SCHOT,1917409,1918034,2,1917904,3466.8,57:46,394.6,7.03,39.21,24,REFEREE,LEFT_TOE,0.079,False,
976,AJAX | SCHOT,1923506,1924131,2,1923948,3708.6,61:48,273.2,2.22,23.13,24,REFEREE,LEFT_TOE,0.244,False,
1026,AJAX | SCHOT,1929792,1930417,2,1929826,3943.7,65:43,323.0,4.55,31.81,3,TEAM_A,LEFT_ANKLE,0.271,False,
1198,FORTUNA SITTARD | SCHOT,1947669,1948294,2,1947809,4663.0,77:43,236.2,3.8,22.49,29,TEAM_A,LEFT_TOE,0.147,False,
1213,FORTUNA SITTARD | SCHOT,1948926,1949551,2,1949354,4724.8,78:44,251.3,2.98,26.82,21,TEAM_A,RIGHT_ANKLE,0.124,False,
1226,AJAX | DOELPUNT,1951414,1951939,2,1951882,4825.9,80:25,378.8,2.25,33.29,11,REFEREE,LEFT_ANKLE,0.15,False,
1262,AJAX | SCHOT,1956236,1956861,2,1956520,5011.4,83:31,184.1,10.33,22.0,24,REFEREE,LEFT_TOE,0.059,False,
1336,AJAX | SCHOT,1963784,1964409,2,1963920,5307.4,88:27,309.3,2.44,27.74,7,TEAM_A,RIGHT_TOE,0.104,False,
1342,AJAX | SCHOT,1965467,1966092,2,1965944,5388.4,89:48,347.6,0.69,26.11,11,REFEREE,RIGHT_TOE,0.705,False,
1369,AJAX | SCHOT,1967899,1968524,2,1968372,5485.5,91:25,209.7,3.04,20.19,24,REFEREE,RIGHT_TOE,0.055,False,
